claim_id,accident_year,line_of_business,loss_amount_usd,paid_to_date_usd,status,injury_severity
CLM100416,2015,GL,11877,7426,Open,Minor
CLM100417,2015,Auto BI,46735,21859,Open,Moderate
CLM100418,2015,Auto PD,10948,8316,Open,Minor
CLM100419,2015,Auto BI,8168,4997,Open,Minor
CLM100420,2015,Auto PD,75911,38594,Open,Moderate
CLM100421,2015,GL,12388,11118,Open,Minor
CLM100422,2015,Property,7377,5054,Open,Minor
CLM100423,2015,Property,59573,46407,Open,Moderate
CLM100424,2015,GL,9613,8189,Open,Minor
CLM100425,2015,GL,11421,7070,Open,Minor
CLM100426,2015,GL,5587,2460,Open,Minor
CLM100427,2015,GL,55290,47411,Open,Moderate
CLM100428,2015,GL,10646,5654,Open,Minor
CLM100429,2015,Property,3603,3517,Closed,Minor
CLM100430,2015,Auto BI,5041,4406,Open,Minor
CLM100431,2015,Auto BI,14411,13155,Open,Moderate
CLM100432,2015,Auto PD,7326,3899,Open,Minor
CLM100433,2015,Auto PD,55763,38866,Open,Moderate
CLM100434,2015,Auto BI,11755,9677,Open,Minor
CLM100435,2015,Auto BI,8185,6508,Open,Minor
CLM100436,2015,Property,12071,11213,Open,Minor
CLM100437,2015,GL,24298,22272,Open,Moderate
CLM100438,2015,Auto BI,3741,2951,Open,Minor
CLM100439,2015,Property,7861,6781,Open,Minor
CLM100440,2015,Auto PD,8960,6006,Open,Minor
CLM100441,2015,Auto BI,217220,161006,Open,Severe
CLM100442,2015,Auto BI,2831,2348,Open,Minor
CLM100443,2015,Auto BI,43663,42369,Closed,Moderate
CLM100444,2015,Property,25432,12243,Open,Moderate
CLM100445,2015,Auto PD,9674,9575,Closed,Minor
CLM100446,2015,Auto BI,8916,6045,Open,Minor
CLM100447,2015,Auto PD,30901,20381,Open,Moderate
CLM100448,2015,Auto PD,37291,36402,Closed,Moderate
CLM100449,2015,Auto BI,5351,4804,Open,Minor
CLM100450,2015,Property,7843,4860,Open,Minor
CLM100451,2015,Property,10387,4961,Open,Minor
CLM100452,2015,Auto PD,5535,5486,Closed,Minor
CLM100453,2015,Auto PD,9260,6495,Open,Minor
CLM100454,2015,Auto BI,6674,3778,Open,Minor
CLM100455,2015,Property,33106,16952,Open,Moderate
CLM100456,2015,GL,7732,4278,Open,Minor
CLM100457,2015,GL,132004,126518,Closed,Severe
CLM100458,2015,Property,36695,31085,Open,Moderate
CLM100459,2015,Auto PD,27031,17536,Open,Moderate
CLM100460,2015,Auto BI,12911,9531,Open,Minor
CLM100461,2015,Auto PD,45528,26408,Open,Moderate
CLM100462,2015,GL,6250,3195,Open,Minor
CLM100463,2015,Property,8534,4469,Open,Minor
CLM100464,2015,Auto PD,43315,20970,Open,Moderate
CLM100465,2015,GL,7447,3543,Open,Minor
CLM100466,2015,Property,9535,8143,Open,Minor
CLM100467,2015,GL,56362,28233,Open,Moderate
CLM100468,2015,Property,6673,4235,Open,Minor
CLM100469,2015,Property,36362,27321,Open,Moderate
CLM100470,2015,GL,196620,153664,Open,Severe
CLM100471,2015,Auto BI,2245,1087,Open,Minor
CLM100472,2015,Property,4212,2908,Open,Minor
CLM100473,2015,Property,11417,6227,Open,Minor
CLM100474,2015,Auto PD,69674,36216,Open,Moderate
CLM100475,2015,Property,198831,175840,Open,Severe
CLM100476,2015,Auto BI,53648,35276,Open,Moderate
CLM100477,2015,Auto BI,49668,29206,Open,Moderate
CLM100478,2015,Property,15697,7738,Open,Minor
CLM100479,2015,Property,10798,8904,Open,Minor
CLM100480,2015,Auto BI,209127,176570,Open,Severe
CLM100481,2015,GL,5611,5364,Closed,Minor
CLM100482,2015,GL,3983,2917,Open,Minor
CLM100483,2015,Property,8508,4410,Open,Minor
CLM100484,2015,Auto PD,6109,6006,Closed,Minor
CLM100485,2015,GL,4444,3764,Open,Minor
CLM100486,2015,Auto BI,6383,5547,Open,Minor
CLM100487,2015,Auto BI,128068,60821,Open,Severe
CLM100488,2015,GL,12217,9548,Open,Minor
CLM100489,2015,Auto PD,10204,6638,Open,Minor
CLM100490,2015,Auto PD,44880,37205,Open,Moderate
CLM100491,2015,Property,11699,9257,Open,Minor
CLM100492,2015,GL,8193,6419,Open,Minor
CLM100493,2015,Property,5846,2502,Open,Minor
CLM100494,2015,Property,349465,226154,Open,Severe
CLM100495,2015,GL,9347,5837,Open,Minor
CLM100496,2015,Auto BI,5406,3099,Open,Minor
CLM100497,2015,Auto BI,42144,39237,Open,Moderate
CLM100498,2015,Auto PD,31865,17573,Open,Moderate
CLM100499,2015,Auto BI,4543,4114,Open,Minor
CLM100500,2015,Property,298725,252044,Open,Severe
CLM100501,2015,GL,12773,10755,Open,Minor
CLM100502,2015,Auto BI,4503,2608,Open,Minor
CLM100503,2015,Auto BI,9407,7967,Open,Minor
CLM100504,2015,GL,164695,114698,Open,Severe
CLM100505,2015,Auto BI,37693,23694,Open,Moderate
CLM100506,2015,Auto PD,6519,4133,Open,Minor
CLM100507,2015,Auto PD,32040,19997,Open,Moderate
CLM100508,2015,Auto PD,45727,21133,Open,Moderate
CLM100509,2015,Property,5922,4082,Open,Minor
CLM100510,2015,Auto PD,242988,143713,Open,Severe
CLM100511,2015,Auto BI,7874,3284,Open,Minor
CLM100512,2015,Auto BI,7402,6931,Open,Minor
CLM100513,2015,GL,5731,2488,Open,Minor
CLM100514,2015,GL,6558,6334,Closed,Minor
CLM100515,2015,Auto PD,9888,4104,Open,Minor
